PV;CV;SP
15.86;10;25
15.86;10;25
15.86;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.61;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.43;10;25
15.49;10;25
15.49;10;25
15.49;10;25
15.49;10;25
15.49;10;25
15.49;10;25
15.49;10;25
15.49;10;25
15.49;10;25
15.49;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.12;10;25
15.12;10;25
15.12;10;25
15.12;10;25
15.12;10;25
15.12;10;25
15.12;10;25
15.12;10;25
15.12;10;25
15.12;10;25
15.36;10;25
15.36;10;25
15.36;10;25
15.36;10;25
15.36;10;25
15.36;10;25
15.36;10;25
15.36;10;25
15.36;10;25
15.36;10;25
15.71;10;25
15.71;10;25
15.71;10;25
15.71;10;25
15.71;10;25
15.71;10;25
15.71;10;25
15.71;10;25
15.71;10;25
15.71;10;25
15.33;10;25
15.33;10;25
15.33;10;25
15.33;10;25
15.33;10;25
15.33;10;25
15.33;10;25
15.33;10;25
15.33;10;25
15.33;10;25
15.74;10;25
15.74;10;25
15.74;10;25
15.74;10;25
15.74;10;25
15.74;10;25
15.74;10;25
15.74;10;25
15.74;10;25
15.74;10;25
15.64;10;25
15.64;10;25
15.64;10;25
15.64;10;25
15.64;10;25
15.64;10;25
15.64;10;25
15.64;10;25
15.64;10;25
15.64;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.9;10;25
15.08;10;25
15.08;10;25
15.08;10;25
15.08;10;25
15.08;10;25
15.08;10;25
15.08;10;25
15.08;10;25
15.08;10;25
15.08;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.14;10;25
15.76;10;25
15.76;10;25
15.76;10;25
15.76;10;25
15.76;10;25
15.76;10;25
15.76;10;25
15.76;10;25
15.76;10;25
15.76;10;25
15.67;10;25
15.67;10;25
15.67;10;25
15.67;10;25
15.67;10;25
15.67;10;25
15.67;10;25
15.67;10;25
15.67;10;25
15.67;10;25
15.97;10;25
15.97;10;25
15.97;10;25
15.97;10;25
15.97;10;25
15.97;10;25
15.97;10;25
15.97;10;25
15.97;10;25
15.97;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.78;10;25
15.91;10;25
15.91;10;25
15.91;10;25
15.91;10;25
15.91;10;25
15.91;10;25
15.91;10;25
15.91;10;25
15.91;10;25
15.91;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.77;10;25
15.81;10;25
15.81;10;25
15.81;10;25
15.81;10;25
15.81;10;25
15.81;10;25
15.81;10;25
15.81;10;25
15.81;10;25
15.81;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.96;10;25
15.48;10;25
15.48;10;25
15.48;10;25
15.48;10;25
15.48;10;25
15.48;10;25
15.48;10;25
15.48;10;25
15.48;10;25
15.48;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.54;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.18;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.44;10;25
15.16;10;25
15.16;10;25
15.16;10;25
15.16;10;25
15.16;10;25
15.16;10;25
15.16;10;25
15.16;10;25
15.16;10;25
15.16;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.34;10;25
15.57;10;25
15.57;10;25
15.57;10;25
15.57;10;25
15.57;10;25
15.57;10;25
15.57;10;25
15.57;10;25
15.57;10;25
15.57;10;25
15.84;10;25
15.84;10;25
15.84;10;25
15.84;10;25
15.84;10;25
15.84;10;25
15.84;10;25
15.84;10;25
15.84;10;25
15.84;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.31;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.03;10;25
15.75;10;25
15.75;10;25
15.75;10;25
15.75;10;25
15.75;10;25
15.75;10;25
15.75;10;25
15.75;10;25
15.75;10;25
15.75;10;25
15.6;10;25
15.6;10;25
15.6;10;25
15.6;10;25
15.6;10;25
15.6;10;25
15.6;10;25
15.6;10;25
15.6;10;25
15.6;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.68;10;25
15.23;10;25
15.23;10;25
15.23;10;25
15.23;10;25
15.23;10;25
15.23;10;25
15.23;10;25
15.23;10;25
15.23;10;25
15.23;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.02;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.06;10;25
15.07;10;25
15.08;10;25
15.09;10;25
15.1;10;25
15.11;10;25
15.79;10;25
15.8;10;25
15.8;10;25
15.81;10;25
15.82;10;25
15.83;10;25
15.84;10;25
15.85;10;25
15.86;10;25
15.87;10;25
15.27;10;25
15.28;10;25
15.29;10;25
15.3;10;25
15.31;10;25
15.32;10;25
15.33;10;25
15.34;10;25
15.34;10;25
15.35;10;25
15.49;10;25
15.5;10;25
15.51;10;25
15.52;10;25
15.53;10;25
15.53;10;25
15.54;10;25
15.55;10;25
15.56;10;25
15.57;10;25
15.78;10;25
15.79;10;25
15.79;10;25
15.8;10;25
15.81;10;25
15.82;10;25
15.83;10;25
15.84;10;25
15.85;10;25
15.86;10;25
15.84;10;25
15.85;10;25
15.86;10;25
15.87;10;25
15.88;10;25
15.89;10;25
15.9;10;25
15.9;10;25
15.91;10;25
15.92;10;25
15.51;10;25
15.53;10;25
15.53;10;25
15.54;10;25
15.54;10;25
15.55;10;25
15.56;10;25
15.57;10;25
15.58;10;25
15.59;10;25
16.04;10;25
16.06;10;25
16.06;10;25
16.07;10;25
16.08;10;25
16.09;10;25
16.1;10;25
16.1;10;25
16.11;10;25
16.12;10;25
15.71;10;25
15.72;10;25
15.73;10;25
15.74;10;25
15.74;10;25
15.75;10;25
15.76;10;25
15.77;10;25
15.78;10;25
15.79;10;25
16.56;10;25
16.57;10;25
16.58;10;25
16.59;10;25
16.6;10;25
16.61;10;25
16.62;10;25
16.62;10;25
16.63;10;25
16.64;10;25
16.73;10;25
16.74;10;25
16.75;10;25
16.75;10;25
16.76;10;25
16.77;10;25
16.78;10;25
16.79;10;25
16.8;10;25
16.8;10;25
15.99;10;25
16;10;25
16.01;10;25
16.02;10;25
16.03;10;25
16.03;10;25
16.04;10;25
16.05;10;25
16.06;10;25
16.07;10;25
16.75;10;25
16.75;10;25
16.76;10;25
16.77;10;25
16.78;10;25
16.79;10;25
16.8;10;25
16.8;10;25
16.81;10;25
16.82;10;25
16.79;10;25
16.8;10;25
16.81;10;25
16.81;10;25
16.82;10;25
16.83;10;25
16.84;10;25
16.85;10;25
16.86;10;25
16.86;10;25
16.96;10;25
16.97;10;25
16.99;10;25
16.99;10;25
16.99;10;25
17;10;25
17.01;10;25
17.02;10;25
17.03;10;25
17.04;10;25
16.47;10;25
16.48;10;25
16.5;10;25
16.5;10;25
16.51;10;25
16.52;10;25
16.52;10;25
16.53;10;25
16.54;10;25
16.55;10;25
16.53;10;25
16.53;10;25
16.55;10;25
16.55;10;25
16.56;10;25
16.57;10;25
16.58;10;25
16.58;10;25
16.59;10;25
16.6;10;25
16.92;10;25
16.93;10;25
16.93;10;25
16.94;10;25
16.95;10;25
16.96;10;25
16.97;10;25
16.97;10;25
16.98;10;25
16.99;10;25
17.31;10;25
17.32;10;25
17.33;10;25
17.33;10;25
17.34;10;25
17.35;10;25
17.36;10;25
17.37;10;25
17.37;10;25
17.38;10;25
17.06;10;25
17.07;10;25
17.08;10;25
17.08;10;25
17.09;10;25
17.1;10;25
17.11;10;25
17.12;10;25
17.12;10;25
17.13;10;25
16.76;10;25
16.77;10;25
16.78;10;25
16.78;10;25
16.79;10;25
16.8;10;25
16.81;10;25
16.82;10;25
16.82;10;25
16.83;10;25
16.91;10;25
16.92;10;25
16.93;10;25
16.93;10;25
16.94;10;25
16.95;10;25
16.96;10;25
16.97;10;25
16.97;10;25
16.98;10;25
17.48;10;25
17.49;10;25
17.5;10;25
17.5;10;25
17.51;10;25
17.52;10;25
17.53;10;25
17.54;10;25
17.54;10;25
17.55;10;25
17.71;10;25
17.72;10;25
17.73;10;25
17.73;10;25
17.74;10;25
17.75;10;25
17.76;10;25
17.77;10;25
17.77;10;25
17.78;10;25
17.95;10;25
17.96;10;25
17.96;10;25
17.97;10;25
17.98;10;25
17.99;10;25
18;10;25
18;10;25
18.01;10;25
18.02;10;25
17.21;10;25
17.22;10;25
17.22;10;25
17.23;10;25
17.24;10;25
17.25;10;25
17.25;10;25
17.26;10;25
17.27;10;25
17.28;10;25
17.58;10;25
17.58;10;25
17.59;10;25
17.6;10;25
17.61;10;25
17.61;10;25
17.62;10;25
17.63;10;25
17.64;10;25
17.65;10;25
17.49;10;25
17.5;10;25
17.51;10;25
17.52;10;25
17.52;10;25
17.53;10;25
17.54;10;25
17.55;10;25
17.56;10;25
17.56;10;25
17.8;10;25
17.81;10;25
17.82;10;25
17.82;10;25
17.83;10;25
17.84;10;25
17.85;10;25
17.86;10;25
17.86;10;25
17.87;10;25
17.37;10;25
17.38;10;25
17.38;10;25
17.39;10;25
17.4;10;25
17.41;10;25
17.41;10;25
17.42;10;25
17.43;10;25
17.44;10;25
17.58;10;25
17.58;10;25
17.59;10;25
17.6;10;25
17.61;10;25
17.61;10;25
17.62;10;25
17.63;10;25
17.64;10;25
17.64;10;25
18.35;10;25
18.36;10;25
18.37;10;25
18.38;10;25
18.38;10;25
18.39;10;25
18.4;10;25
18.41;10;25
18.41;10;25
18.42;10;25
18.46;10;25
18.47;10;25
18.47;10;25
18.48;10;25
18.49;10;25
18.5;10;25
18.5;10;25
18.51;10;25
18.52;10;25
18.53;10;25
17.92;10;25
17.93;10;25
17.94;10;25
17.95;10;25
17.95;10;25
17.96;10;25
17.97;10;25
17.98;10;25
17.99;10;25
17.99;10;25
18.1;10;25
18.11;10;25
18.12;10;25
18.12;10;25
18.13;10;25
18.14;10;25
18.15;10;25
18.15;10;25
18.16;10;25
18.17;10;25
18.17;10;25
18.17;10;25
18.18;10;25
18.19;10;25
18.2;10;25
18.2;10;25
18.21;10;25
18.22;10;25
18.23;10;25
18.23;10;25
18.24;10;25
18.25;10;25
18.26;10;25
18.27;10;25
18.27;10;25
18.28;10;25
18.29;10;25
18.29;10;25
18.3;10;25
18.31;10;25
18.37;10;25
18.38;10;25
18.39;10;25
18.4;10;25
18.4;10;25
18.41;10;25
18.42;10;25
18.43;10;25
18.43;10;25
18.44;10;25
18.5;10;25
18.51;10;25
18.51;10;25
18.52;10;25
18.53;10;25
18.54;10;25
18.54;10;25
18.55;10;25
18.56;10;25
18.57;10;25
18.96;10;25
18.97;10;25
18.98;10;25
18.99;10;25
18.99;10;25
19;10;25
19.01;10;25
19.01;10;25
19.02;10;25
19.03;10;25
18.74;10;25
18.74;10;25
18.75;10;25
18.76;10;25
18.77;10;25
18.77;10;25
18.78;10;25
18.79;10;25
18.8;10;25
18.8;10;25
19.21;10;25
19.22;10;25
19.22;10;25
19.23;10;25
19.24;10;25
19.25;10;25
19.25;10;25
19.26;10;25
19.27;10;25
19.28;10;25
19.12;10;25
19.13;10;25
19.14;10;25
19.14;10;25
19.15;10;25
19.16;10;25
19.17;10;25
19.17;10;25
19.18;10;25
19.19;10;25
19.19;10;25
19.19;10;25
19.2;10;25
19.21;10;25
19.21;10;25
19.22;10;25
19.23;10;25
19.24;10;25
19.24;10;25
19.25;10;25
19.1;10;25
19.1;10;25
19.11;10;25
19.12;10;25
19.13;10;25
19.13;10;25
19.14;10;25
19.15;10;25
19.16;10;25
19.16;10;25
18.57;10;25
18.58;10;25
18.58;10;25
18.59;10;25
18.61;10;25
18.61;10;25
18.61;10;25
18.62;10;25
18.63;10;25
18.63;10;25
19.26;10;25
19.27;10;25
19.28;10;25
19.28;10;25
19.29;10;25
19.3;10;25
19.3;10;25
19.31;10;25
19.32;10;25
19.33;10;25
19.12;10;25
19.13;10;25
19.14;10;25
19.14;10;25
19.15;10;25
19.16;10;25
19.17;10;25
19.17;10;25
19.18;10;25
19.19;10;25
19.54;10;25
19.55;10;25
19.56;10;25
19.56;10;25
19.58;10;25
19.58;10;25
19.59;10;25
19.59;10;25
19.6;10;25
19.61;10;25
19.54;10;25
19.55;10;25
19.56;10;25
19.57;10;25
19.58;10;25
19.58;10;25
19.59;10;25
19.59;10;25
19.6;10;25
19.61;10;25
19.05;10;25
19.06;10;25
19.07;10;25
19.08;10;25
19.08;10;25
19.09;10;25
19.1;10;25
19.1;10;25
19.11;10;25
19.12;10;25
19.63;10;25
19.64;10;25
19.65;10;25
19.66;10;25
19.66;10;25
19.67;10;25
19.68;10;25
19.68;10;25
19.69;10;25
19.7;10;25
19.94;10;25
19.95;10;25
19.96;10;25
19.97;10;25
19.97;10;25
19.98;10;25
19.99;10;25
19.99;10;25
20;10;25
20.01;10;25
19.35;10;25
19.36;10;25
19.37;10;25
19.37;10;25
19.38;10;25
19.39;10;25
19.4;10;25
19.4;10;25
19.41;10;25
19.42;10;25
19.42;10;25
19.43;10;25
19.44;10;25
19.44;10;25
19.45;10;25
19.46;10;25
19.46;10;25
19.47;10;25
19.48;10;25
19.48;10;25
19.9;10;25
19.91;10;25
19.92;10;25
19.92;10;25
19.93;10;25
19.94;10;25
19.94;10;25
19.95;10;25
19.96;10;25
19.96;10;25
20.03;10;25
20.04;10;25
20.04;10;25
20.05;10;25
20.06;10;25
20.06;10;25
20.07;10;25
20.08;10;25
20.08;10;25
20.09;10;25
19.7;10;25
19.7;10;25
19.71;10;25
19.72;10;25
19.73;10;25
19.73;10;25
19.74;10;25
19.75;10;25
19.75;10;25
19.76;10;25
19.94;10;25
19.94;10;25
19.95;10;25
19.96;10;25
19.96;10;25
19.97;10;25
19.98;10;25
19.98;10;25
19.99;10;25
20;10;25
19.86;10;25
19.87;10;25
19.88;10;25
19.88;10;25
19.89;10;25
19.9;10;25
19.9;10;25
19.91;10;25
19.92;10;25
19.92;10;25
19.83;10;25
19.84;10;25
19.84;10;25
19.85;10;25
19.86;10;25
19.86;10;25
19.87;10;25
19.88;10;25
19.88;10;25
19.89;10;25
20.25;10;25
20.25;10;25
20.26;10;25
20.27;10;25
20.27;10;25
20.28;10;25
20.29;10;25
20.29;10;25
20.3;10;25
20.31;10;25
20.67;10;25
20.68;10;25
20.69;10;25
20.69;10;25
20.7;10;25
20.71;10;25
20.71;10;25
20.72;10;25
20.73;10;25
20.73;10;25
20.43;10;25
20.44;10;25
20.44;10;25
20.45;10;25
20.46;10;25
20.46;10;25
20.47;10;25
20.48;10;25
20.48;10;25
20.49;10;25
20.68;10;25
20.68;10;25
20.69;10;25
20.7;10;25
20.7;10;25
20.71;10;25
20.72;10;25
20.72;10;25
20.73;10;25
20.74;10;25
20.59;10;25
20.6;10;25
20.61;10;25
20.61;10;25
20.62;10;25
20.63;10;25
20.63;10;25
20.64;10;25
20.64;10;25
20.65;10;25
20.59;10;25
20.59;10;25
20.6;10;25
20.61;10;25
20.61;10;25
20.62;10;25
20.63;10;25
20.63;10;25
20.64;10;25
20.65;10;25
20.51;10;25
20.52;10;25
20.53;10;25
20.53;10;25
20.54;10;25
20.55;10;25
20.55;10;25
20.56;10;25
20.56;10;25
20.57;10;25
20.9;10;25
20.9;10;25
20.91;10;25
20.92;10;25
20.92;10;25
20.93;10;25
20.94;10;25
20.94;10;25
20.95;10;25
20.96;10;25
20.49;10;25
20.5;10;25
20.51;10;25
20.51;10;25
20.52;10;25
20.52;10;25
20.53;10;25
20.54;10;25
20.54;10;25
20.55;10;25
20.51;10;25
20.51;10;25
20.52;10;25
20.53;10;25
20.53;10;25
20.54;10;25
20.55;10;25
20.55;10;25
20.56;10;25
20.56;10;25
21.18;10;25
21.19;10;25
21.19;10;25
21.2;10;25
21.21;10;25
21.21;10;25
21.22;10;25
21.23;10;25
21.23;10;25
21.24;10;25
21.26;10;25
21.27;10;25
21.28;10;25
21.28;10;25
21.29;10;25
21.3;10;25
21.3;10;25
21.31;10;25
21.32;10;25
21.32;10;25
20.93;10;25
20.93;10;25
20.94;10;25
20.95;10;25
20.95;10;25
20.96;10;25
20.97;10;25
20.97;10;25
20.98;10;25
20.98;10;25
20.89;10;25
20.9;10;25
20.9;10;25
20.91;10;25
20.92;10;25
20.92;10;25
20.93;10;25
20.94;10;25
20.94;10;25
20.95;10;25
21.03;10;25
21.04;10;25
21.05;10;25
21.05;10;25
21.06;10;25
21.07;10;25
21.07;10;25
21.08;10;25
21.08;10;25
21.09;10;25
21.18;10;25
21.18;10;25
21.19;10;25
21.2;10;25
21.2;10;25
21.21;10;25
21.21;10;25
21.22;10;25
21.23;10;25
21.23;10;25
21.67;10;25
21.68;10;25
21.68;10;25
21.69;10;25
21.69;10;25
21.7;10;25
21.71;10;25
21.71;10;25
21.72;10;25
21.72;10;25
20.9;10;25
20.91;10;25
20.91;10;25
20.92;10;25
20.93;10;25
20.93;10;25
20.94;10;25
20.94;10;25
20.95;10;25
20.96;10;25
20.86;10;25
20.87;10;25
20.87;10;25
20.88;10;25
20.89;10;25
20.89;10;25
20.9;10;25
20.91;10;25
20.91;10;25
20.92;10;25
21.25;10;25
21.26;10;25
21.27;10;25
21.27;10;25
21.28;10;25
21.28;10;25
21.29;10;25
21.3;10;25
21.3;10;25
21.31;10;25
21.73;10;25
21.73;10;25
21.74;10;25
21.74;10;25
21.75;10;25
21.76;10;25
21.76;10;25
21.77;10;25
21.77;10;25
21.78;10;25
21.11;10;25
21.11;10;25
21.12;10;25
21.12;10;25
21.13;10;25
21.14;10;25
21.14;10;25
21.15;10;25
21.15;10;25
21.16;10;25
22.05;10;25
22.05;10;25
22.06;10;25
22.06;10;25
22.07;10;25
22.08;10;25
22.08;10;25
22.09;10;25
22.1;10;25
22.1;10;25
21.18;10;25
21.18;10;25
21.19;10;25
21.2;10;25
21.2;10;25
21.21;10;25
21.22;10;25
21.22;10;25
21.23;10;25
21.23;10;25
21.51;10;25
21.51;10;25
21.52;10;25
21.53;10;25
21.53;10;25
21.54;10;25
21.54;10;25
21.55;10;25
21.56;10;25
21.56;10;25
21.61;10;25
21.61;10;25
21.62;10;25
21.62;10;25
21.63;10;25
21.64;10;25
21.64;10;25
21.65;10;25
21.65;10;25
21.66;10;25
21.51;10;25
21.51;10;25
21.52;10;25
21.52;10;25
21.53;10;25
21.54;10;25
21.54;10;25
21.55;10;25
21.55;10;25
21.56;10;25
21.78;10;25
21.78;10;25
21.79;10;25
21.79;10;25
21.8;10;25
21.81;10;25
21.81;10;25
21.82;10;25
21.82;10;25
21.83;10;25
22.26;10;25
22.27;10;25
22.28;10;25
22.28;10;25
22.29;10;25
22.29;10;25
22.3;10;25
22.31;10;25
22.31;10;25
22.32;10;25
21.95;10;25
21.96;10;25
21.97;10;25
21.97;10;25
21.98;10;25
21.98;10;25
21.99;10;25
21.99;10;25
22;10;25
22.01;10;25
22.03;10;25
22.04;10;25
22.04;10;25
22.05;10;25
22.06;10;25
22.06;10;25
22.07;10;25
22.07;10;25
22.08;10;25
22.08;10;25
21.97;10;25
21.98;10;25
21.98;10;25
21.99;10;25
21.99;10;25
22;10;25
22.01;10;25
22.01;10;25
22.02;10;25
22.02;10;25
22.18;10;25
22.18;10;25
22.19;10;25
22.2;10;25
22.2;10;25
22.21;10;25
22.21;10;25
22.22;10;25
22.22;10;25
22.23;10;25
21.99;10;25
21.99;10;25
22;10;25
22;10;25
22.01;10;25
22.01;10;25
22.02;10;25
22.03;10;25
22.03;10;25
22.04;10;25
22.31;10;25
22.32;10;25
22.32;10;25
22.33;10;25
22.34;10;25
22.34;10;25
22.35;10;25
22.35;10;25
22.36;10;25
22.36;10;25
22.6;10;25
22.61;10;25
22.61;10;25
22.62;10;25
22.62;10;25
22.63;10;25
22.63;10;25
22.64;10;25
22.65;10;25
22.65;10;25
22.71;10;25
22.71;10;25
22.72;10;25
22.72;10;25
22.73;10;25
22.74;10;25
22.74;10;25
22.75;10;25
22.75;10;25
